"Date","Price","Open","High","Low","Change %"
"21-01-2025","6.755","6.785","6.786","6.754","-0.30%"
"20-01-2025","6.775","6.754","6.795","6.754","1.42%"
"17-01-2025","6.680","6.680","6.710","6.670","0.45%"
"16-01-2025","6.650","6.710","6.730","6.670","-0.60%"
"15-01-2025","6.690","6.710","6.730","6.700","0.15%"
"14-01-2025","6.680","6.700","6.720","6.700","0.00%"
"13-01-2025","6.680","6.710","6.730","6.690","-0.30%"
"10-01-2025","6.700","6.710","6.730","6.690","-0.30%"
"09-01-2025","6.720","6.720","6.730","6.720","0.60%"
"08-01-2025","6.680","6.650","6.680","6.650","0.00%"
"07-01-2025","6.680","6.680","6.680","6.670","0.15%"
"06-01-2025","6.670","6.710","6.720","6.670","-0.60%"
"03-01-2025","6.710","6.680","6.720","6.680","0.45%"
"02-01-2025","6.680","6.740","6.750","6.680","-0.45%"
"01-01-2025","6.710","6.710","6.730","6.700","0.00%"
"31-12-2024","6.710","6.720","6.720","6.700","-0.15%"
"30-12-2024","6.720","6.710","6.720","6.700","-0.15%"
"27-12-2024","6.730","6.720","6.730","6.720","0.60%"
"26-12-2024","6.690","6.670","6.690","6.660","0.60%"
"24-12-2024","6.650","6.650","6.650","6.630","-0.30%"
"23-12-2024","6.670","6.670","6.670","6.650","0.30%"
"20-12-2024","6.650","6.650","6.660","6.640","0.00%"
"19-12-2024","6.650","6.660","6.670","6.640","0.15%"
"18-12-2024","6.640","6.620","6.660","6.620","0.15%"
"17-12-2024","6.630","6.630","6.630","6.620","0.00%"
"16-12-2024","6.630","6.630","6.640","6.620","0.00%"
"13-12-2024","6.630","6.630","6.640","6.600","0.00%"
"12-12-2024","6.630","6.630","6.630","6.600","0.91%"
"11-12-2024","6.570","6.570","6.580","6.560","0.15%"
"10-12-2024","6.560","6.560","6.580","6.550","0.00%"
"09-12-2024","6.560","6.560","6.570","6.550","0.00%"
"06-12-2024","6.560","6.570","6.570","6.550","0.00%"
"05-12-2024","6.560","6.560","6.570","6.530","-0.30%"
"04-12-2024","6.580","6.580","6.600","6.570","0.00%"
"03-12-2024","6.580","6.660","6.660","6.580","-1.35%"
"02-12-2024","6.670","6.680","6.680","6.660","0.00%"
"29-11-2024","6.670","6.680","6.690","6.670","0.00%"
"28-11-2024","6.670","6.680","6.690","6.670","0.30%"
"27-11-2024","6.650","6.660","6.660","6.650","-0.15%"
"26-11-2024","6.660","6.670","6.670","6.630","-0.15%"
"25-11-2024","6.670","6.670","6.680","6.620","0.00%"
"22-11-2024","6.670","6.650","6.680","6.630","0.60%"
"21-11-2024","6.630","6.620","6.650","6.610","0.15%"
"19-11-2024","6.620","6.620","6.640","6.620","0.00%"
"18-11-2024","6.620","6.630","6.630","6.620","-0.15%"
"14-11-2024","6.630","6.640","6.650","6.620","0.00%"
"13-11-2024","6.630","6.610","6.650","6.600","0.30%"
"12-11-2024","6.610","6.610","6.610","6.600","0.00%"
"11-11-2024","6.610","6.600","6.620","6.590","-0.30%"
"08-11-2024","6.630","6.620","6.630","6.610","0.15%"
"07-11-2024","6.620","6.620","6.650","6.620","0.00%"
"06-11-2024","6.620","6.610","6.630","6.600","0.15%"
"05-11-2024","6.610","6.610","6.610","6.590","-0.15%"
"04-11-2024","6.620","6.600","6.620","6.580","-0.15%"
"31-10-2024","6.630","6.670","6.670","6.630","0.00%"
"30-10-2024","6.630","6.630","6.660","6.610","0.15%"
"29-10-2024","6.620","6.610","6.630","6.600","0.00%"
"28-10-2024","6.620","6.620","6.630","6.600","0.00%"
"25-10-2024","6.620","6.610","6.620","6.590","0.15%"
"24-10-2024","6.610","6.610","6.620","6.590","0.15%"
"23-10-2024","6.600","6.570","6.600","6.550","0.30%"
"22-10-2024","6.580","6.570","6.580","6.550","0.15%"
"21-10-2024","6.570","6.560","6.580","6.540","0.00%"
"18-10-2024","6.570","6.570","6.580","6.550","0.15%"
"17-10-2024","6.560","6.570","6.580","6.560","-0.15%"
"16-10-2024","6.570","6.550","6.570","6.540","0.15%"
"15-10-2024","6.560","6.560","6.580","6.550","0.15%"
"14-10-2024","6.550","6.560","6.560","6.520","-0.15%"
"11-10-2024","6.560","6.560","6.570","6.550","0.00%"
"10-10-2024","6.560","6.560","6.570","6.530","0.00%"
"09-10-2024","6.560","6.560","6.560","6.550","-0.15%"
"08-10-2024","6.570","6.570","6.570","6.550","0.00%"
"07-10-2024","6.570","6.580","6.580","6.550","-0.15%"
"04-10-2024","6.580","6.580","6.580","6.550","0.30%"
"03-10-2024","6.560","6.560","6.560","6.540","0.00%"
"01-10-2024","6.560","6.520","6.570","6.520","-0.46%"
"30-09-2024","6.590","6.580","6.590","6.540","0.15%"
"27-09-2024","6.580","6.590","6.610","6.570","-0.30%"
"26-09-2024","6.600","6.620","6.630","6.600","-0.45%"
"25-09-2024","6.630","6.620","6.630","6.620","0.00%"
"24-09-2024","6.630","6.620","6.630","6.620","0.00%"
"23-09-2024","6.630","6.620","6.630","6.600","0.45%"
"20-09-2024","6.600","6.610","6.610","6.600","-0.15%"
"19-09-2024","6.610","6.660","6.660","6.610","-0.75%"
"17-09-2024","6.660","6.660","6.700","6.630","-0.15%"
"16-09-2024","6.670","6.670","6.680","6.620","0.30%"
"13-09-2024","6.650","6.720","6.720","6.640","-1.04%"
"12-09-2024","6.720","6.750","6.750","6.720","0.00%"
"11-09-2024","6.720","6.740","6.750","6.720","0.00%"
"10-09-2024","6.720","6.730","6.730","6.690","-0.15%"
"09-09-2024","6.730","6.740","6.740","6.710","0.00%"
"06-09-2024","6.730","6.750","6.750","6.730","0.00%"
"05-09-2024","6.730","6.750","6.750","6.720","-0.15%"
"04-09-2024","6.740","6.740","6.740","6.730","0.00%"
"03-09-2024","6.740","6.740","6.740","6.720","0.15%"
"02-09-2024","6.730","6.730","6.730","6.720","0.00%"
"30-08-2024","6.730","6.730","6.740","6.720","-0.30%"
"29-08-2024","6.750","6.740","6.750","6.730","0.30%"
"28-08-2024","6.730","6.720","6.740","6.710","0.00%"
"27-08-2024","6.730","6.730","6.750","6.720","0.00%"
"26-08-2024","6.730","6.720","6.740","6.720","0.00%"
"23-08-2024","6.730","6.730","6.740","6.720","-0.15%"
"22-08-2024","6.740","6.750","6.750","6.710","0.15%"
"21-08-2024","6.730","6.730","6.750","6.720","0.00%"
